province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ha Noi,15845,18736,22397,23354,25960,27081,31484,34174,33231,34233,35234
Vinh Phuc,2209,2207,2626,2871,2654,2942,2966,3028,4120,3923,3725
Bac Ninh,1872,2362,2592,2917,2919,3182,3839,4139,4948,4846,4743
Quang Ninh,2619,2701,3188,3817,3887,4183,4694,4759,5907,5455,5002
Hai Duong,3198,3674,4200,4613,5164,5867,6197,6684,6312,6517,6721
Hai Phong,3228,3658,4310,4919,5352,5611,6273,6283,3001,4747,6492
Hung Yen,1807,1945,2297,2533,2554,2652,2932,2983,3213,3397,3581
Thai Binh,2585,3084,3203,4065,4095,4139,4416,4427,2332,3129,3925
Ha Nam,1638,1735,1946,1905,1892,2007,2051,2100,4784,3846,2907
Nam Dinh,3128,3617,3986,4257,4477,4738,4782,4897,3119,3917,4714
Ninh Binh,2282,2304,2393,2387,2504,2566,2698,2956,49241,26224,3206
Ha Giang,2635,2926,3350,3588,3539,3588,3616,3664,2105,2830,3555
Cao Bang,1388,1496,1619,1775,1937,2073,2152,2144,1190,1660,2130
Bac Kan,792,809,1291,960,967,1062,1144,1238,3013,2138,1263
Tuyen Quang,2052,2168,2373,2653,2867,3059,3113,3227,3510,3139,2767
Lao Cai,2746,2631,3143,3112,3343,3526,3424,3638,3045,3334,3623
Yen Bai,1949,2236,2262,2367,2413,2642,2699,2850,4092,3522,2951
Thai Nguyen,2091,2812,3015,3212,3421,3624,3928,4447,3357,3912,4466
Lang Son,1776,2190,3250,2681,2419,2797,3099,3295,6470,4943,3415
Bac Giang,3430,3596,4001,4012,4205,4238,4720,5892,5875,6481,7087
Phu Tho,3414,3714,4184,4559,4973,5555,5823,6051,2452,4258,6063
Dien Bien,1670,1830,2209,2256,2184,2417,2434,2428,2420,2513,2605
Lai Chau,1727,1885,1802,2174,2371,2482,2514,2381,4268,3313,2357
Son La,3103,3345,3676,3682,3885,3989,3987,4165,3893,4205,4517
Hoa Binh,2317,2964,2472,3109,3193,3559,3737,3791,54184,28982,3780
Thanh Hoa,6912,7437,6540,8875,8855,9738,9954,10275,9659,10773,11886
Nghe An,6173,6270,6339,6679,6867,7876,8424,9053,9271,9432,9593
Ha Tinh,3116,3081,3249,3688,3509,3634,3947,3963,4014,4470,4926
Quang Binh,2117,2310,2598,2730,2855,3034,3247,3409,3443,3582,3721
Quang Tri,1740,1852,1962,2166,2123,2187,2257,2317,2377,2338,2298
Thua Thien-Hue,2229,2367,2746,2831,2849,2850,3151,3326,3174,3308,3441
Da Nang,2088,2422,2494,2753,2925,3189,3557,3961,3441,3711,3981
Quang Nam,2249,2426,2877,3025,3313,3608,3973,4160,3762,4031,4300
Quang Ngai,1827,1754,1967,2071,2205,2445,2693,2819,2672,2756,2840
Binh Dinh,1955,2047,2028,2272,2343,2492,2636,2807,3012,3145,3277
Phu Yen,1244,1269,1159,1393,1484,1512,1598,1731,1639,1739,1838
Khanh Hoa,1962,2120,2169,2284,2395,2882,3065,3215,3033,3236,3439
Ninh Thuan,722,818,957,909,978,1037,994,1293,1428,1404,1380
Binh Thuan,1600,1743,1944,2120,2202,2635,2985,3364,3259,3478,3697
Kon Tum,1418,1418,1481,1539,1648,1670,1787,1829,1614,1883,2152
Gia Lai,2308,2620,2721,3089,3205,3361,3467,3741,3299,3544,3789
Dak Lak,3195,3530,3624,4022,4141,4709,4969,5187,5205,5430,5655
Dak Nong,1012,1108,1207,1316,1443,1577,1736,1930,1892,2079,2265
Lam Dong,2306,2304,2843,3007,3060,3221,3472,3606,3524,3599,3673
Binh Phuoc,1474,1707,1863,2082,2237,2441,2691,2721,2810,2890,2970
Tay Ninh,981,1012,1137,1255,1276,1426,1565,1686,1962,1995,2027
Binh Duong,2321,2661,2495,3249,3577,4476,4664,4801,5237,5532,5827
Dong Nai,3370,4134,4100,4459,5210,5749,6310,7225,5668,6281,6894
Ba Ria-Vung Tau,1526,2415,1391,2657,2416,2510,2725,2941,3289,3286,3283
Ho Chi Minh City,10703,11983,12765,13774,14640,15746,17728,19482,20330,20847,21364
Long An,1852,1931,2080,2261,2622,2826,3116,3440,3275,3330,3384
Tien Giang,1531,1751,1973,1952,2163,2271,2478,2515,2463,2569,2674
Ben Tre,1321,1397,1518,1520,1638,1790,1914,1998,2127,2186,2244
Tra Vinh,1205,1265,1326,1413,1447,1571,1604,1685,1744,1813,1882
Vinh Long,1470,1521,1604,1597,1783,1863,2127,2196,2340,2356,2371
Dong Thap,2682,2327,2429,2611,2727,2904,2992,3028,2967,2971,2974
An Giang,1919,2038,2124,1958,2071,2134,2178,2312,2441,2514,2587
Kien Giang,1173,1386,1545,1763,1809,1951,2116,2360,2342,2446,2549
Can Tho,1696,1908,1959,2204,2463,2661,2870,2935,2918,2902,2886
Hau Giang,956,1084,852,1108,1272,1283,1537,1599,1169,1228,1286
Soc Trang,1638,1711,1986,1970,1945,2165,2432,2477,2314,2357,2400
Bac Lieu,975,1005,1052,1135,1154,1278,1393,1569,1513,1526,1539
Ca Mau,1063,1252,1287,1429,1493,1650,1717,1749,1838,1854,1869
